[6:27:54] ::ffff:192.168.0.105 -> /10mpass.txt
[6:27:56] ::ffff:192.168.0.105 <- 10mpass.txt
[8:17:38] ::1 -> /
[8:17:38] ::1 <- index.html
[8:17:38] ::1 -> /blackguy.png
[8:17:38] ::1 <- blackguy.png
[8:17:38] ::1 -> /main.css
[8:17:38] ::1 <- main.css
[8:25:34] ::1 -> /
[8:25:34] ::1 <- index.html
[8:25:34] ::1 -> /main.css
[8:25:34] ::1 -> /blackguy.png
[8:25:34] ::1 <- main.css
[8:25:34] ::1 <- blackguy.png
[16:56:42] ===============[Server is listening on 80]===============
[16:56:45] ::1 -> /
[16:56:45] ::1 <- index.html
[16:56:45] ::1 -> /main.css
[16:56:45] ::1 -> /blackguy.png
[16:56:45] ::1 <- main.css
[16:56:45] ::1 <- blackguy.png
[16:56:46] ::1 -> /favicon.ico
[16:56:46] ::1 <- favicon.ico
[16:56:47] ::1 -> /naeb/
[16:56:47] ::1 <- naeb/index.html
[16:56:47] ::1 -> /naeb/js/main.js
[16:56:47] ::1 <- naeb/js/main.js
[16:56:47] ::1 -> /naeb/css/main.css
[16:56:47] ::1 <- naeb/css/main.css
[16:56:51] ::1 -> /rest/
[16:56:51] ::1 <- rest/index.html
[16:56:52] ::1 -> /rest/img/glad.png
[16:56:52] ::1 <- rest/img/glad.png
[17:17:37] ::ffff:10.10.10.98 -> /favicon.ico
[17:17:38] ::ffff:10.10.10.98 <- favicon.ico
[17:17:54] ::ffff:10.10.14.57 -> /favicon.ico
[17:17:54] ::ffff:10.10.14.57 <- favicon.ico
[17:17:54] ::ffff:10.10.14.57 -> /favicon.ico
[17:17:54] ::ffff:10.10.14.57 <- favicon.ico
[17:19:35] ::ffff:10.10.10.98 -> /favicon.ico
[17:19:35] ::ffff:10.10.10.98 <- favicon.ico
